Price,URL,Type,Location,Bedrooms,Bathrooms,Parking.Spaces,Erf.Size,Floor.Size,Latitude,Longitude,Erf.Size.Normalized,Floor.Size.Normalized,Size,Predicted,Difference
695000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/114918601,House,Bonteheuwel,0.133333333333333,0.2,0.2,239.0,,0.484269613719838,0.34452394920694,0.287092882991556,,0.287092882991556,1031145.0,336145.0
850000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115178166,House,Retreat,0.133333333333333,0.2,0.5,305.0,,0.138651192190957,0.262819490907442,0.36670687575392,,0.36670687575392,1185454.0,335454.0
650000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114874772,Apartment,Wynberg,0.133333333333333,0.2,0.1,,53.0,0.299112099254906,0.235312456728385,,0.210300429184549,0.210300429184549,984400.0,334400.0
380000,https://www.property24.com/for-sale/fisantekraal/cape-town/western-cape/9529/115206286,House,Fisantekraal,0.0666666666666667,0.2,0.1,200.0,,0.980708317217443,0.941803104609987,0.240048250904704,,0.240048250904704,713996.0,333996.0
495000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/114730460,Apartment,Maitland,0.0666666666666667,0.2,0.1,30.0,,0.556668716539425,0.312988176923529,0.0349819059107358,,0.0349819059107358,828063.0,333063.0
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115164660?plId=1842782&amp;plt=4,House,Bonteheuwel,0.133333333333333,0.2,0.1,206.0,,0.481827989112927,0.34452394920694,0.247285886610374,,0.247285886610374,982345.0,332345.0
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115043545?plId=1842782&amp;plt=4,House,Bonteheuwel,0.133333333333333,0.2,0.1,206.0,,0.481827989112927,0.34452394920694,0.247285886610374,,0.247285886610374,982345.0,332345.0
360000,https://www.property24.com/for-sale/greenville-garden-city/cape-town/western-cape/16424/115163958,House,Greenville Garden City,0.133333333333333,0.2,0.1,112.0,,1.0,1.0,0.133896260554885,,0.133896260554885,690651.0,330651.0
545000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114875265,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,45.0,0.299112099254906,0.235312456728385,,0.175965665236052,0.175965665236052,875018.0,330018.0
490000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115224683,Apartment,Maitland,0.0666666666666667,0.2,0.0,,26.0,0.556668716539425,0.312988176923529,,0.0944206008583691,0.0944206008583691,817191.0,327191.0
