"Price","URL","Type","Location","Bedrooms","Bathrooms","Parking.Spaces","Erf.Size","Floor.Size","Latitude","Longitude"
1150000,"https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115166684","Apartment","Salt River",2,1,0,NA,73,-33.9317008,18.4610056
1150000,"https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115177265","Apartment","Mowbray",2,1,1,NA,63,-33.9483333,18.4741667
815000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115180012","Apartment","Zonnebloem",0.5,1,1,NA,32,-33.932546,18.435048
820000,"https://www.property24.com/for-sale/manenberg/cape-town/western-cape/8718/115199213","House","Manenberg",3,1,2,260,NA,-33.9897222,18.5544444
1400000,"https://www.property24.com/for-sale/bridgetown/cape-town/western-cape/8723/115200693","House","Bridgetown",3,2,2,218,NA,-33.9563889,18.5305556
999000,"https://www.property24.com/for-sale/capricorn/cape-town/western-cape/12788/115073886","Apartment","Capricorn",2,1,1,NA,56,-33.8746657291885,18.5079257014086
1100000,"https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115224428","Apartment","Wynberg",2,2,1,NA,88,-34.0036249,18.4672507
880000,"https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115191517","Apartment","Muizenberg",1,1,1,NA,46,-34.0978389,18.4845707617506
1495000,"https://www.property24.com/for-sale/kenilworth-upper/cape-town/western-cape/14224/115167140","Apartment","Kenilworth Upper",2,1,0,NA,78,-33.99487,18.47379
1500000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115065948","Apartment","Zonnebloem",2,1,1,NA,75,-33.932546,18.435048
945000,"https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115165229","Apartment","Retreat",3,2,1,NA,71,-34.0541667,18.4763889
1440000,"https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/115093090","Apartment","Thornton",2,1,1,NA,57,-33.9189157,18.5318232
1180000,"https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115211456","House","Pelican Park",4,1,3,250,NA,-34.0546062,18.5284575
1495000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115217907","Apartment","Woodstock",1,1,1,NA,44,-33.9305556,18.4472222
1250000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115112338","Apartment","Zonnebloem",2,2,1,NA,50,-33.932546,18.435048
1450000,"https://www.property24.com/for-sale/ottery-east/cape-town/western-cape/16453/115166970","Apartment","Ottery East",2,2,0,NA,51,-34.01786,18.51088
1500000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115081767","Apartment","Zonnebloem",2,1,1,NA,75,-33.932546,18.435048
520000,"https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115165495","Apartment","Wynberg",1,1,1,NA,36,-34.0036249,18.4672507
800000,"https://www.property24.com/for-sale/wynberg-upper/cape-town/western-cape/10102/115065948","Apartment","Wynberg Upper",1,1,1,NA,34,-34.00685,18.4694
695000,"https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/114984980","Land","Lotus River",0,0,0,566,NA,-34.0430556,18.5213889
1400000,"https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115155502","Apartment","Wynberg",2,2,2,NA,78,-34.0036249,18.4672507
1139000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115038845","Apartment","Zonnebloem",0.5,1,1,NA,52,-33.932546,18.435048
780000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115193439","Apartment","Belhar",2,1,1,NA,38,-33.9447222,18.6258333
800000,"https://www.property24.com/for-sale/wynberg-upper/cape-town/western-cape/10102/115163653","Apartment","Wynberg Upper",1,1,1,NA,34,-34.00685,18.4694
1399000,"https://www.property24.com/for-sale/kenilworth-upper/cape-town/western-cape/14224/115191252","Apartment","Kenilworth Upper",1,1,1,NA,45,-33.99487,18.47379
1450000,"https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115223219","House","Muizenberg",2,1,2,271,NA,-34.0978389,18.4845707617506
1075000,"https://www.property24.com/for-sale/elfindale/cape-town/western-cape/10170/115160967","Apartment","Elfindale",1,1,1,NA,62,-34.041575,18.4768145
1495000,"https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/115158651","Apartment","Claremont",2,1.5,2,NA,79,-33.9847222,18.4625
995000,"https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115200242","Apartment","Ottery",2,1,1,NA,52,-34.0131526,18.5091531
900000,"https://www.property24.com/for-sale/langa/cape-town/western-cape/9117/115191495","House","Langa",3,1,1,265,NA,-33.9455556,18.53
869000,"https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/115060378","House","Lotus River",2,1,5,313,NA,-34.0430556,18.5213889
1500000,"https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/115160947","Apartment","Kenilworth",2,1,1,NA,78,-33.9941667,18.4683333
250000,"https://www.property24.com/for-sale/philippi/cape-town/western-cape/8818/115191608","House","Philippi",2,1,0,162,NA,-34.001892,18.5957668409791
1149000,"https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115053980","Apartment","Salt River",1,1,1,NA,66,-33.9317008,18.4610056
799000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115205026","Apartment","Belhar",2,1,1,NA,55,-33.9447222,18.6258333
699000,"https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/115162489","Townhouse","Lotus River",2,1,2,82,NA,-34.0430556,18.5213889
999000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115190010","Apartment","Woodstock",1,1,1,NA,56,-33.9305556,18.4472222
1195000,"https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/115146157","Apartment","Kenilworth",1,1,2,NA,47,-33.9941667,18.4683333
900000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115144972","Apartment","Zonnebloem",1,1,1,NA,46,-33.932546,18.435048
1495000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115183423","Apartment","Woodstock",1,1,1,NA,42,-33.9305556,18.4472222
1399000,"https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115084350","Apartment","Pinelands",1,1,1,NA,38,-33.9316667,18.5127778
1300000,"https://www.property24.com/for-sale/kensington/cape-town/western-cape/8010/114965423?plId=1829693&amp;plt=4","House","Kensington",3,2,1,248,NA,-33.9144444,18.5069444
490000,"https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115224683","Apartment","Maitland",1,1,0,NA,26,-33.9225,18.4930556
1399000,"https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115193447","Apartment","Pinelands",1,1,1,NA,38,-33.9316667,18.5127778
850000,"https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/114967049","Apartment","Costa Da Gama",1,1,1,NA,41,-34.09616,18.48278
1450000,"https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115208501","House","Pelican Park",3,2,2,250,NA,-34.0546062,18.5284575
