Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size
1100000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115224428,2 Bedroom Apartment,Wynberg,2,2,1,,88
880000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115191517,1 Bedroom Apartment,Muizenberg,1,1,1,,46
1495000,https://www.property24.com/for-sale/kenilworth-upper/cape-town/western-cape/14224/115167140,2 Bedroom Apartment,Kenilworth Upper,2,1,,,78
1500000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115065948,2 Bedroom Apartment,Zonnebloem,2,1,1,,75
945000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115165229,3 Bedroom Apartment,Retreat,3,2,1,,71
1440000,https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/115093090,2 Bedroom Apartment,Thornton,2,1,1,,57
620000,https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/115218916,House,Lotus River,,1,,592,
1180000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115211456,4 Bedroom House,Pelican Park,4,1,3,250,
1495000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115217907,1 Bedroom Apartment,Woodstock,1,1,1,,44
1250000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115112338,2 Bedroom Apartment,Zonnebloem,2,2,1,,50
1450000,https://www.property24.com/for-sale/ottery-east/cape-town/western-cape/16453/115166970,2 Bedroom Apartment,Ottery East,2,2,,,51
1100000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115198517,Commercial Property,Retreat,,,,,347
1500000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115081767,2 Bedroom Apartment,Zonnebloem,2,1,1,,75
520000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115165495,1 Bedroom Apartment,Wynberg,1,1,1,,36
800000,https://www.property24.com/for-sale/wynberg-upper/cape-town/western-cape/10102/115065948,1 Bedroom Apartment,Wynberg Upper,1,1,1,,34
695000,https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/114984980,Vacant Land,Lotus River,,,,566,
1050000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115121922,2 Bedroom Apartment,Ottery,2,,1,,46
1400000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115155502,2 Bedroom Apartment,Wynberg,2,2,2,,78
1139000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115038845,0.5 Bedroom Apartment,Zonnebloem,0.5,1,1,,52
780000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115193439,2 Bedroom Apartment,Belhar,2,1,1,,38
800000,https://www.property24.com/for-sale/wynberg-upper/cape-town/western-cape/10102/115163653,1 Bedroom Apartment,Wynberg Upper,1,1,1,,34
1399000,https://www.property24.com/for-sale/kenilworth-upper/cape-town/western-cape/14224/115191252,1 Bedroom Apartment,Kenilworth Upper,1,1,1,,45
1450000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115223219,2 Bedroom House,Muizenberg,2,1,2,271,
1075000,https://www.property24.com/for-sale/elfindale/cape-town/western-cape/10170/115160967,1 Bedroom Apartment,Elfindale,1,1,1,,62
1495000,https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/115158651,2 Bedroom Apartment,Claremont,2,1.5,2,,79
995000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115200242,2 Bedroom Apartment,Ottery,2,1,1,,52
900000,https://www.property24.com/for-sale/langa/cape-town/western-cape/9117/115191495,3 Bedroom House,Langa,3,1,1,265,
869000,https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/115060378,2 Bedroom House,Lotus River,2,1,5,313,
1500000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/115160947,2 Bedroom Apartment,Kenilworth,2,1,1,,78
250000,https://www.property24.com/for-sale/philippi/cape-town/western-cape/8818/115191608,2 Bedroom House,Philippi,2,1,,162,
1149000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115053980,1 Bedroom Apartment,Salt River,1,1,1,,66
799000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115205026,2 Bedroom Apartment,Belhar,2,1,1,,55
699000,https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/115162489,2 Bedroom Townhouse,Lotus River,2,1,2,82,
999000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115190010,1 Bedroom Apartment,Woodstock,1,1,1,,56
1165000,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/115184690,Commercial Property,Cape Town City Centre,,,,,28
1195000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/115146157,1 Bedroom Apartment,Kenilworth,1,1,2,,47
900000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115144972,1 Bedroom Apartment,Zonnebloem,1,1,1,,46
1495000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115183423,1 Bedroom Apartment,Woodstock,1,1,1,,42
1425000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/115146430,Apartment,Kenilworth,,,,,79
1399000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115084350,1 Bedroom Apartment,Pinelands,1,1,1,,38
1300000,https://www.property24.com/for-sale/kensington/cape-town/western-cape/8010/114965423?plId=1829693&amp;plt=4,3 Bedroom House,Kensington,3,2,1,248,
490000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115224683,1 Bedroom Apartment,Maitland,1,1,,,26
1399000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115193447,1 Bedroom Apartment,Pinelands,1,1,1,,38
850000,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/114967049,1 Bedroom Apartment,Costa Da Gama,1,1,1,,41
650000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115149224,2 Bedroom House,Belhar,2,,1,38,
1450000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115208501,3 Bedroom House,Pelican Park,3,2,2,250,
900000,https://www.property24.com/for-sale/heideveld/cape-town/western-cape/8726/115145102,1 Bedroom House,Heideveld,1,1,,100,
1375000,https://www.property24.com/for-sale/grassy-park/cape-town/western-cape/10204/115216076,3 Bedroom House,Grassy Park,3,1,3,357,
699500,https://www.property24.com/for-sale/wetton/cape-town/western-cape/8812/115160320,1 Bedroom House,Wetton,1,1,1,50,
1495000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115140782,2 Bedroom Apartment,Plumstead,2,2,2,,90
995000,https://www.property24.com/for-sale/grassy-park/cape-town/western-cape/10204/115151913,2 Bedroom Apartment,Grassy Park,2,1,1,,44
845000,https://www.property24.com/for-sale/vanguard/cape-town/western-cape/8766/115139663,2 Bedroom Apartment,Vanguard,2,1,1,,44
1495000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/114953481,1 Bedroom Apartment,Observatory,1,1,1,,49
1500000,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/115194549,1 Bedroom Apartment,Green Point,1,1,1,,32
